uid,id,source,rank,game
1124,57,"4. Brass: Birmingham","4","Brass: Birmingham"
1125,57,"5. Targi","5","Targi"
1126,57,"6. Trajan","6","Trajan"
1127,57,"7. Battle Line","7","Battle Line"
1128,57,"8. Grand Austria Hotel","8","Grand Austria Hotel"
1129,57,"9. Ark Nova","9","Ark Nova"
1130,57,"10. Concordia","10","Concordia"
1131,57,"11. Carcassonne","11","Carcassonne"
1132,57,"12. Carpe Diem","12","Carpe Diem"
1133,57,"13. Tzolk'in: The Mayan Calendar","13","Tzolk'in: The Mayan Calendar"
1134,57,"14. Botanik","14","Botanik"
1135,57,"15. Five Tribes","15","Five Tribes"
1136,57,"16. Obsession","16","Obsession"
1137,57,"17. The Quest for El Dorado","17","The Quest for El Dorado"
1138,57,"18. Azul","18","Azul"
1139,57,"19. Rajas of the Ganges","19","Rajas of the Ganges"
1140,57,"20. 7 Wonders Duel","20","7 Wonders Duel"
1141,58,"1. Ivion: the Herocrafting Card Game","1","Ivion: the Herocrafting Card Game"
1142,58,"2. BattleCON","2","BattleCON"
1143,58,"3. Magic: The Gathering","3","Magic: The Gathering"
1144,58,"3. Deep Rock Galactic","3","Deep Rock Galactic"
1145,58,"4. Sorcerer","4","Sorcerer"
1146,58,"5. Vagrantsong","5","Vagrantsong"
1147,58,"6. Clank!: A Deck-Building Adventure","6","Clank!: A Deck-Building Adventure"
1148,58,".",".","."
1149,58,".",".","."
1150,58,".",".","."
1151,58,".",".","."
1152,58,".",".","."
1153,58,".",".","."
1154,58,".",".","."
1155,58,".",".","."
1156,58,".",".","."
1157,58,".",".","."
1158,58,".",".","."
1159,58,".",".","."
1160,58,".",".","."
1161,59,"1. Ivion: the Herocrafting Card Game","1","Ivion: the Herocrafting Card Game"
1162,59,"2. Arkham Horror: The Card Game","2","Arkham Horror: The Card Game"
1163,59,"3. Tapestry","3","Tapestry"
1164,59,"4. Magic: The Gathering","4","Magic: The Gathering"
1165,59,"5. Dominion","5","Dominion"
1166,59,"6. KeyForge","6","KeyForge"
1167,59,"7. Small World","7","Small World"
1168,59,"8. Onitama","8","Onitama"
1169,59,"9. Chess","9","Chess"
1170,59,"10. Super Club","10","Super Club"
1171,59,"11. Stratego","11","Stratego"
1172,59,"12. Seven Wonders Duel","12","Seven Wonders Duel"
1173,59,".",".","."
1174,59,".",".","."
1175,59,".",".","."
1176,59,".",".","."
1177,59,".",".","."
1178,59,".",".","."
1179,59,".",".","."
1180,59,".",".","."
1181,60,"1. Splendor Duel","1","Splendor Duel"
1182,60,"2. Schotten Totten","2","Schotten Totten"
1183,60,"3. Trailblazers","3","Trailblazers"
1184,60,"4. Evergreen","4","Evergreen"
1185,60,"5. Cascadia","5","Cascadia"
1186,60,"6. Calico","6","Calico"
1187,60,"7. Railroad Ink","7","Railroad Ink"
1188,60,".",".","."
1189,60,".",".","."
1190,60,".",".","."
1191,60,".",".","."
1192,60,".",".","."
1193,60,".",".","."
1194,60,".",".","."
1195,60,".",".","."
1196,60,".",".","."
1197,60,".",".","."
1198,60,".",".","."
1199,60,".",".","."
1200,60,".",".","."
1201,61,"1. Twilight Struggle","1","Twilight Struggle"
1202,61,"2. Exceed Fighting System","2","Exceed Fighting System"
1203,61,"3. Yomi","3","Yomi"
1204,61,"4. Puzzle Strike","4","Puzzle Strike"
1205,61,"5. Innovation","5","Innovation"
1206,61,"6. Codex Card Time Strategy Deluxe Set","6","Codex Card Time Strategy Deluxe Set"
1207,61,"7. Codenames: Duet","7","Codenames: Duet"
1208,61,"8. Patchwork","8","Patchwork"
1209,61,"9. Android: Netrunner","9","Android: Netrunner"
1210,61,"10. Neuroshima Convoy","10","Neuroshima Convoy"
1211,61,".",".","."
1212,61,".",".","."
1213,61,".",".","."
1214,61,".",".","."
1215,61,".",".","."
1216,61,".",".","."
1217,61,".",".","."
1218,61,".",".","."
1219,61,".",".","."
1220,61,".",".","."
1221,62,"1. Oathsworn: Into the Deepwood","1","Oathsworn: Into the Deepwood"
1222,62,"2. Kingdom Death: Monster","2","Kingdom Death: Monster"
1223,62,"3. Revive","3","Revive"
1224,62,"4. Frosthaven","4","Frosthaven"
1225,62,"5. Dune: Imperium","5","Dune: Imperium"
1226,62,"6. Ark Nova","6","Ark Nova"
1227,62,"7. Cthulhu: Death May Die","7","Cthulhu: Death May Die"
1228,62,"8. Too Many Bones","8","Too Many Bones"
1229,62,"9. Obsession","9","Obsession"
1230,62,"10. Anachrony","10","Anachrony"
1231,62,"11. Xia: Legends of a Drift System","11","Xia: Legends of a Drift System"
1232,62,"12. Res Arcana","12","Res Arcana"
1233,62,"13. Carnegie","13","Carnegie"
1234,62,"14. Eclipse: Second Dawn of the Galaxy","14","Eclipse: Second Dawn of the Galaxy"
1235,62,"15. Skytear Horde","15","Skytear Horde"
1236,62,"16. Flamecraft","16","Flamecraft"
1237,62,"17. Cascadia","17","Cascadia"
1238,62,"18. Dice Throne","18","Dice Throne"
1239,62,"19. Radlands","19","Radlands"
1240,62,"20. Project L","20","Project L"
1241,63,"1. The Castles of Burgundy","1","The Castles of Burgundy"
1242,63,"2. Race for the Galaxy","2","Race for the Galaxy"
1243,63,"3. Trajan","3","Trajan"
1244,63,"4. Battle Line","4","Battle Line"
1245,63,"5. Terraforming Mars","5","Terraforming Mars"
1246,63,"6. Carcassone","6","Carcassone"
1247,63,"7. Carpe Diem","7","Carpe Diem"
1248,63,"8. Targi","8","Targi"
1249,63,"9. 7 Wonders Duel","9","7 Wonders Duel"
1250,63,"10. Grand Austria Hotel","10","Grand Austria Hotel"
1251,63,"11. Brass: Birmingham","11","Brass: Birmingham"
1252,63,"12. The Quest for El Dorado","12","The Quest for El Dorado"
1253,63,"13. Five Tribes","13","Five Tribes"
1254,63,"14. Ginkgopolis","14","Ginkgopolis"
1255,63,"15. Obsession","15","Obsession"
1256,63,"16. Patchwork","16","Patchwork"
1257,63,"17. Viticulture Essential Edition","17","Viticulture Essential Edition"
1258,63,"18. Jaipur","18","Jaipur"
1259,63,"19. First Rat","19","First Rat"
1260,63,"20. Rajas of the Ganges","20","Rajas of the Ganges"
1261,64,"1. Dominion","1","Dominion"
1262,64,"2. Lost Cities","2","Lost Cities"
1263,64,"3. Tak","3","Tak"
1264,64,"4. Brass: Birmingham","4","Brass: Birmingham"
1265,64,"5. Santorini","5","Santorini"
1266,64,"6. Carcassonne: the Castle","6","Carcassonne: the Castle"
1267,64,"7. Race for the Galaxy","7","Race for the Galaxy"
1268,64,"8. Streetcar Suburb","8","Streetcar Suburb"
1269,64,"9. Inis","9","Inis"
1270,64,"10. Kahuna","10","Kahuna"
1271,64,"11. Beer & Bread","11","Beer & Bread"
1272,64,"12. Twilight Struggle","12","Twilight Struggle"
1273,64,"13. Watergate","13","Watergate"
1274,64,"14. Strands","14","Strands"
1275,64,"15. Concordia Venus","15","Concordia Venus"
1276,64,"16. ZERTZ","16","ZERTZ"
1277,64,"17. Ultimate Tic-Tac-Toe","17","Ultimate Tic-Tac-Toe"
1278,64,"18. Hex","18","Hex"
1279,64,"19. Mattock","19","Mattock"
1280,64,"20. Jaipur","20","Jaipur"
1281,65,"1. Mage Wars","1","Mage Wars"
1282,65,"2. Frostgrave","2","Frostgrave"
1283,65,"3. Ivion: the Herocrafting Card Game","3","Ivion: the Herocrafting Card Game"
1284,65,"4. Patchwork","4","Patchwork"
1285,65,"5. Cascadia","5","Cascadia"
1286,65,"6. Parade","6","Parade"
1287,65,"7. Marvel Remix","7","Marvel Remix"
1288,65,"8. The Castles of Burgundy","8","The Castles of Burgundy"
1289,65,"9. Summoner Wars","9","Summoner Wars"
1290,65,"10. Unmatched","10","Unmatched"
1291,65,".",".","."
1292,65,".",".","."
1293,65,".",".","."
1294,65,".",".","."
1295,65,".",".","."
1296,65,".",".","."
1297,65,".",".","."
1298,65,".",".","."
1299,65,".",".","."
1300,65,".",".","."
1301,66,"1. Arkham Horror: The Card Game","1","Arkham Horror: The Card Game"
1302,66,"2. Weather Machine","2","Weather Machine"
1303,66,"3. Lisboa","3","Lisboa"
1304,66,"4. Voidfall","4","Voidfall"
1305,66,"5. Five Tribes","5","Five Tribes"
1306,66,"6. Spirit Island","6","Spirit Island"
1307,66,"7. The Castles of Burgundy","7","The Castles of Burgundy"
1308,66,"8. Concordia","8","Concordia"
1309,66,"9. The Quacks of Quedlinburg","9","The Quacks of Quedlinburg"
1310,66,"10. Splendor Duel","10","Splendor Duel"
1311,66,"11. Cascadia","11","Cascadia"
1312,66,"12. Ark Nova","12","Ark Nova"
1313,66,"13. Targi","13","Targi"
1314,66,"14. Azul","14","Azul"
1315,66,"15. boop","15","boop"
1316,66,"16. Calico","16","Calico"
1317,66,"17. Sea Salt & Paper","17","Sea Salt & Paper"
1318,66,"18. New York Zoo","18","New York Zoo"
1319,66,"19. Parade","19","Parade"
1320,66,"20. Kashgar","20","Kashgar"
1321,67,"1. Ivion: The Herocrafting Card Game","1","Ivion: The Herocrafting Card Game"
1322,67,"2. Beast","2","Beast"
1323,67,"3. Flesh and Blood","3","Flesh and Blood"
1324,67,"4. Exceed Fighting System","4","Exceed Fighting System"
1325,67,"5. Legends of Andor","5","Legends of Andor"
1326,67,".",".","."
1327,67,".",".","."
1328,67,".",".","."
1329,67,".",".","."
1330,67,".",".","."
1331,67,".",".","."
1332,67,".",".","."
1333,67,".",".","."
1334,67,".",".","."
1335,67,".",".","."
1336,67,".",".","."
1337,67,".",".","."
1338,67,".",".","."
1339,67,".",".","."
1340,67,".",".","."
1341,68,"1. Beer & Bread","1","Beer & Bread"
1342,68,"2. Caper: Europe","2","Caper: Europe"
1343,68,"3. Dice Throne","3","Dice Throne"
1344,68,"4. Splendor Duel","4","Splendor Duel"
1345,68,"5. Mandala","5","Mandala"
1346,68,"6. Mottainai","6","Mottainai"
1347,68,"7. Jekyll vs Hyde","7","Jekyll vs Hyde"
1348,68,"8. Targi","8","Targi"
1349,68,"9. Res Arcana","9","Res Arcana"
1350,68,"10. Great Plains","10","Great Plains"
1351,68,"11. Clank! Catacombs","11","Clank! Catacombs"
1352,68,"12. Botanik","12","Botanik"
1353,68,"13. Radlands","13","Radlands"
1354,68,"14. Royal Visit","14","Royal Visit"
1355,68,"15. Claim","15","Claim"
1356,68,"16. Claustrophobia","16","Claustrophobia"
1357,68,"17. 13 Days: The Cuban Missile Crisis","17","13 Days: The Cuban Missile Crisis"
1358,68,"18. Seasons","18","Seasons"
1359,68,"19. Jolly & Roger","19","Jolly & Roger"
1360,68,"20. Terrors of London","20","Terrors of London"
1361,69,"1. Istanbul","1","Istanbul"
1362,69,"2. The Quacks of Quedlinburg","2","The Quacks of Quedlinburg"
1363,69,"3. Dice Forge","3","Dice Forge"
1364,69,"4. Bruges","4","Bruges"
1365,69,"5. Carolus Magnus","5","Carolus Magnus"
1366,69,"6. Lords of Waterdeep","6","Lords of Waterdeep"
1367,69,"7. Enemy Chocolatier","7","Enemy Chocolatier"
1368,69,"8. The Search for Planet X","8","The Search for Planet X"
1369,69,"9. Ricochet Pyramids","9","Ricochet Pyramids"
1370,69,"10. Würfelland","10","Würfelland"
1371,69,"11. San Juan","11","San Juan"
1372,69,"12. Creature Comforts: Kickstarter Edition","12","Creature Comforts: Kickstarter Edition"
1373,69,"13. Pandemic: Rapid Response","13","Pandemic: Rapid Response"
1374,69,"14. Telepathy","14","Telepathy"
1375,69,"15. Xero-G","15","Xero-G"
1376,69,"16. Ghost Blitz","16","Ghost Blitz"
1377,69,"17. La Isla","17","La Isla"
1378,69,"18. Escape: The Curse of the Temple","18","Escape: The Curse of the Temple"
1379,69,"19. Chase","19","Chase"
1380,69,"20. Break the Code","20","Break the Code"
1381,70,"1. Next Station Tokyo","1","Next Station Tokyo"
1382,70,"2. Dorfromantik: The Board Game","2","Dorfromantik: The Board Game"
1383,70,"3. Race to the Raft","3","Race to the Raft"
1384,70,"4. Point City","4","Point City"
1385,70,"5. Clever","5","Clever"
1386,70,"6. Habitats","6","Habitats"
1387,70,"7. Meadow","7","Meadow"
1388,70,"8. Next Station London","8","Next Station London"
1389,70,"9. My City","9","My City"
1390,70,"10. Cartographers","10","Cartographers"
1391,70,"11. Welcome to the Moon","11","Welcome to the Moon"
1392,70,"12. Kingdom Builder","12","Kingdom Builder"
1393,70,"13. The Castles of Burgundy","13","The Castles of Burgundy"
1394,70,"14. Verdant","14","Verdant"
1395,70,"15. Nova Luna","15","Nova Luna"
1396,70,"16. Gardeners","16","Gardeners"
1397,70,"17. Cascadia","17","Cascadia"
1398,70,"18. Dice Miner","18","Dice Miner"
1399,70,"19. Ark Nova","19","Ark Nova"
1400,70,"20. Decorum","20","Decorum"
1401,71,"1. Finca","1","Finca"
1402,71,"2. Ticket to Ride: Switzerland","2","Ticket to Ride: Switzerland"
1403,71,"3. Tides","3","Tides"
1404,71,"4. Lost Cities","4","Lost Cities"
1405,71,"5. Palaces of Carrara","5","Palaces of Carrara"
1406,71,"6. Jaipur","6","Jaipur"
1407,71,"7. Kahuna","7","Kahuna"
1408,71,"8. Dice Forge","8","Dice Forge"
1409,71,"9. Spirits of the Wild","9","Spirits of the Wild"
1410,71,"10. Odin's Ravens","10","Odin's Ravens"
1411,71,"11. Beer & Bread","11","Beer & Bread"
1412,71,"12. Ticket to Ride: Nordic Countries","12","Ticket to Ride: Nordic Countries"
1413,71,"13. Nations: The Dice Game","13","Nations: The Dice Game"
1414,71,"14. Patchwork","14","Patchwork"
1415,71,"15. Carolus Magnus","15","Carolus Magnus"
1416,71,"16. Little Factory","16","Little Factory"
1417,71,"17. Heave Ho!","17","Heave Ho!"
1418,71,"18. Longhorn","18","Longhorn"
1419,71,"19. Shanghaien","19","Shanghaien"
1420,71,"20. Babel","20","Babel"
1421,72,"1. Res Arcana","1","Res Arcana"
1422,72,"2. Nusjford","2","Nusjford"
1423,72,"3. Imperial Settlers: Empires of the North","3","Imperial Settlers: Empires of the North"
1424,72,"4. Imperial Settlers","4","Imperial Settlers"
1425,72,"5. Sleeping Gods","5","Sleeping Gods"
1426,72,"6. Oh My Goods!","6","Oh My Goods!"
1427,72,"7. PARKS","7","PARKS"
1428,72,"8. At the Gates of Loyang","8","At the Gates of Loyang"
1429,72,"9. Sherlock Holmes Consulting Detective","9","Sherlock Holmes Consulting Detective"
1430,72,"10. Jaipur","10","Jaipur"
1431,72,"11. Legacy of Dragonholt","11","Legacy of Dragonholt"
1432,72,"12. Lords of Waterdeep","12","Lords of Waterdeep"
1433,72,"13. Hive","13","Hive"
1434,72,"14. Seasons of Rice","14","Seasons of Rice"
1435,72,"15. Gloomhaven","15","Gloomhaven"
1436,72,"16. Battle Line","16","Battle Line"
1437,72,"17. Air, Land, & Sea","17","Air, Land, & Sea"
1438,72,"18. Targi","18","Targi"
1439,72,"19. Mint Works","19","Mint Works"
1440,72,"20. The 7th Continent","20","The 7th Continent"
1441,73,"1. The Isle of Cats","1","The Isle of Cats"
1442,73,"2. Claim","2","Claim"
1443,73,"3. Rajas of the Ganges: The Dice Charmers","3","Rajas of the Ganges: The Dice Charmers"
1444,73,"4. Riverside","4","Riverside"
1445,73,"5. Fantastic Factories","5","Fantastic Factories"
1446,73,"6. Dice Throne","6","Dice Throne"
1447,73,"7. Ohanami","7","Ohanami"
1448,73,"8. Wingspan","8","Wingspan"
1449,73,"9. Mandala","9","Mandala"
1450,73,"10. Everdell","10","Everdell"
1451,73,"11. The Guild of Merchant Explorers","11","The Guild of Merchant Explorers"
1452,73,"12. Habitats","12","Habitats"
1453,73,"13. Carcassonne","13","Carcassonne"
1454,73,"14. Dice Miner","14","Dice Miner"
1455,73,"15. Spring Meadow","15","Spring Meadow"
1456,73,"16. Kohaku","16","Kohaku"
1457,73,"17. The Crew: Mission Deep Sea","17","The Crew: Mission Deep Sea"
1458,73,"18. Villagers","18","Villagers"
1459,73,"19. The Shipwreck Arcana","19","The Shipwreck Arcana"
1460,73,"20. Terraforming Mars: Ares Expedition","20","Terraforming Mars: Ares Expedition"
1461,74,"1. Memoir '44","1","Memoir '44"
1462,74,"2. Splendor","2","Splendor"
1463,74,"3. Dominion","3","Dominion"
1464,74,"4. The Isle of Cats","4","The Isle of Cats"
1465,74,"5. Azul","5","Azul"
1466,74,"6. Heat: Pedal to the Metal","6","Heat: Pedal to the Metal"
1467,74,"7. Blitzkrieg!: World War Two in 20 Minutes","7","Blitzkrieg!: World War Two in 20 Minutes"
1468,74,"8. Onitama","8","Onitama"
1469,74,"9. Tiny Towns","9","Tiny Towns"
1470,74,"10. PARKS","10","PARKS"
1471,74,"11. Undaunted: Normandy","11","Undaunted: Normandy"
1472,74,"12. Wingspan","12","Wingspan"
1473,74,"13. Splendor Duel","13","Splendor Duel"
1474,74,"14. Patchwork","14","Patchwork"
1475,74,"15. Band of Brothers: Screaming Eagles","15","Band of Brothers: Screaming Eagles"
1476,74,"16. Project L","16","Project L"
1477,74,"17. Commands & Colors: Napoleonics","17","Commands & Colors: Napoleonics"
1478,74,"18. Hadrian's Wall","18","Hadrian's Wall"
1479,74,"19. Terraforming Mars: Ares Expedition","19","Terraforming Mars: Ares Expedition"
1480,74,"20. Lords of Waterdeep","20","Lords of Waterdeep"
1481,75,"1. Lewis & Clark: The Expedition","1","Lewis & Clark: The Expedition"
1482,75,"2. Lords of Vegas","2","Lords of Vegas"
1483,75,"3. Raiders of the North Sea","3","Raiders of the North Sea"
1484,75,"4. Catan Card Game","4","Catan Card Game"
1485,75,"5. Funfair","5","Funfair"
1486,75,"6. Power Grid","6","Power Grid"
1487,75,"7. Rococo","7","Rococo"
1488,75,"8. New Frontiers","8","New Frontiers"
1489,75,"9. Seasons","9","Seasons"
1490,75,"10. Macao","10","Macao"
1491,75,"11. Council of 4","11","Council of 4"
1492,75,"12. Grand Austria Hotel","12","Grand Austria Hotel"
1493,75,"13. Helios","13","Helios"
1494,75,"14. Glass Road","14","Glass Road"
1495,75,"15. Wingspan","15","Wingspan"
1496,75,"16. Blue Moon City","16","Blue Moon City"
1497,75,"17. Cinque Terre","17","Cinque Terre"
1498,75,"18. Egizia","18","Egizia"
1499,75,"19. TAGIRON","19","TAGIRON"
1500,75,"20. Lords of Waterdeep","20","Lords of Waterdeep"
1501,76,"1. Arkham Horror: The Card Game","1","Arkham Horror: The Card Game"
1502,76,"2. Oathsworn","2","Oathsworn"
1503,76,"3. Gloomhaven","3","Gloomhaven"
1504,76,"4. Spirit Island","4","Spirit Island"
1505,76,"5. Sleeping Gods","5","Sleeping Gods"
1506,76,"6. Cthulhu: Death May Die","6","Cthulhu: Death May Die"
1507,76,"7. Everdell","7","Everdell"
1508,76,"8. Race for the Galaxy","8","Race for the Galaxy"
1509,76,"9. The Search for Planet X","9","The Search for Planet X"
1510,76,"10. Roll Player Adventures","10","Roll Player Adventures"
1511,76,"11. Arboretum","11","Arboretum"
1512,76,"12. The Isle of Cats","12","The Isle of Cats"
1513,76,"13. Five Tribes","13","Five Tribes"
1514,76,"14. Return to Dark Tower","14","Return to Dark Tower"
1515,76,"15. Sky Team","15","Sky Team"
1516,76,"16. Paint the Roses","16","Paint the Roses"
1517,76,"17. Sub Terra","17","Sub Terra"
1518,76,"18. Wingspan","18","Wingspan"
1519,76,"19. Codenames: Duet","19","Codenames: Duet"
1520,76,"20. The Shipwreck Arcana","20","The Shipwreck Arcana"
1521,77,"1. Spirit Island","1","Spirit Island"
1522,77,"2. Marvel Champions: The Card Game","2","Marvel Champions: The Card Game"
1523,77,"3. Obsession","3","Obsession"
1524,77,"4. Ark Nova","4","Ark Nova"
1525,77,"5. Gloomhaven","5","Gloomhaven"
1526,77,"6. Everdell","6","Everdell"
1527,77,"7. Wingspan","7","Wingspan"
1528,77,"8. Mind MGMT: The Psychic Espionage "Game"","8","Mind MGMT: The Psychic Espionage "Game""
1529,77,"9. Maracaibo","9","Maracaibo"
1530,77,"10. Rajas of the Ganges","10","Rajas of the Ganges"
1531,77,"11. Viticulture Essential Edition","11","Viticulture Essential Edition"
1532,77,"12. Cascadia","12","Cascadia"
1533,77,"13. Lost Cities","13","Lost Cities"
1534,77,"14. Paris: La Cite de la Lumiere","14","Paris: La Cite de la Lumiere"
1535,77,"15. The Isle of Cats","15","The Isle of Cats"
1536,77,"16. The Castles of Burgundy","16","The Castles of Burgundy"
1537,77,"17. Grand Austria Hotel","17","Grand Austria Hotel"
1538,77,"18. Fantasy Realms","18","Fantasy Realms"
1539,77,"19. Dwellings of Eldervale","19","Dwellings of Eldervale"
1540,77,"20. Watergate","20","Watergate"
1541,78,"1. Mancala","1","Mancala"
1542,78,"2. Grand Austria Hotel","2","Grand Austria Hotel"
1543,78,"3. Nova Luna","3","Nova Luna"
1544,78,"4. Targi","4","Targi"
1545,78,"5. Bora Bora","5","Bora Bora"
1546,78,"6. The Castles of Burgundy","6","The Castles of Burgundy"
1547,78,"7. Azul","7","Azul"
1548,78,"8. Battle Line","8","Battle Line"
1549,78,"9. Kahuna","9","Kahuna"
1550,78,"10. Jaipur","10","Jaipur"
1551,78,"11. Patchwork","11","Patchwork"
1552,78,"12. Lost Cities","12","Lost Cities"
1553,78,"13. Bruges","13","Bruges"
1554,78,"14. Tiletum","14","Tiletum"
1555,78,"15. Fields of Green","15","Fields of Green"
1556,78,"16. Onitama","16","Onitama"
1557,78,"17. War Chest","17","War Chest"
1558,78,"18. Morels","18","Morels"
1559,78,"19. Commands & Colors: Ancients","19","Commands & Colors: Ancients"
1560,78,"20. Jambo","20","Jambo"
1561,79,"1. The Isle of Cats","1","The Isle of Cats"
1562,79,"2. The Quacks of Quedlinburg","2","The Quacks of Quedlinburg"
1563,79,"3. Canvas","3","Canvas"
1564,79,"4. Carcassonne","4","Carcassonne"
1565,79,"5. Hanabi","5","Hanabi"
1566,79,"6. Lost Ruins of Arnak","6","Lost Ruins of Arnak"
1567,79,"7. Hanamikoji","7","Hanamikoji"
1568,79,"8. Hive","8","Hive"
1569,79,"9. Oak","9","Oak"
1570,79,"10. Cascadia","10","Cascadia"
1571,79,"11. The Search for Planet X","11","The Search for Planet X"
1572,79,"12. Praga Caput Regni","12","Praga Caput Regni"
1573,79,"13. Alchemists","13","Alchemists"
1574,79,"14. Star Realms","14","Star Realms"
1575,79,"15. Backgammon","15","Backgammon"
1576,79,"16. Tiny Towns","16","Tiny Towns"
1577,79,"17. Grand Austria Hotel","17","Grand Austria Hotel"
1578,79,"18. Curious Cargo","18","Curious Cargo"
1579,79,"19. Wingspan","19","Wingspan"
1580,79,"20. Everdell","20","Everdell"
1581,80,"1. Patchwork","1","Patchwork"
1582,80,"2. Cascadia","2","Cascadia"
1583,80,"3. 7 Wonders Duel","3","7 Wonders Duel"
1584,80,"4. Agricola: All Creatures Big and Small","4","Agricola: All Creatures Big and Small"
1585,80,"5. Azul","5","Azul"
1586,80,".",".","."
1587,80,".",".","."
1588,80,".",".","."
1589,80,".",".","."
1590,80,".",".","."
1591,80,".",".","."
1592,80,".",".","."
1593,80,".",".","."
1594,80,".",".","."
1595,80,".",".","."
1596,80,".",".","."
1597,80,".",".","."
1598,80,".",".","."
1599,80,".",".","."
1600,80,".",".","."
1601,81,"1. A Feast for Odin","1","A Feast for Odin"
1602,81,"2. Race for the Galaxy","2","Race for the Galaxy"
1603,81,"3. Fantasy Realms","3","Fantasy Realms"
1604,81,"4. That's Pretty Clever!","4","That's Pretty Clever!"
1605,81,"5. Qwirkle","5","Qwirkle"
1606,81,"6. Great Western Trail: Second Edition","6","Great Western Trail: Second Edition"
1607,81,"7. Terraforming Mars","7","Terraforming Mars"
1608,81,"8. Lost Ruins of Arnak","8","Lost Ruins of Arnak"
1609,81,"9. Caper: Europe","9","Caper: Europe"
1610,81,"10. The Search for Planet X","10","The Search for Planet X"
1611,81,"11. Patchwork","11","Patchwork"
1612,81,"12. Karvi","12","Karvi"
1613,81,"13. Planet B","13","Planet B"
1614,81,"14. Wingspan","14","Wingspan"
1615,81,"15. Daybreak","15","Daybreak"
1616,81,"16. Raiders of the North Sea","16","Raiders of the North Sea"
1617,81,"17. Kahuna","17","Kahuna"
1618,81,"18. Undaunted: Normandy","18","Undaunted: Normandy"
1619,81,"19. Perry Rhodan: The Cosmic League","19","Perry Rhodan: The Cosmic League"
1620,81,"20. 7 Wonders Duel","20","7 Wonders Duel"
1621,82,"1. Wingspan","1","Wingspan"
1622,82,"2. Sherlock Holmes Consulting Detective","2","Sherlock Holmes Consulting Detective"
1623,82,"3. The Crew","3","The Crew"
1624,82,"4. Fantasy Realms","4","Fantasy Realms"
1625,82,"5. Hive Pocket","5","Hive Pocket"
1626,82,"6. Cascadia","6","Cascadia"
1627,82,"7. That's Pretty Clever","7","That's Pretty Clever"
1628,82,"8. Fantastic Factories","8","Fantastic Factories"
1629,82,"9. Splendor: Marvel","9","Splendor: Marvel"
1630,82,"10. Res Arcana","10","Res Arcana"
1631,82,"11. 7 Wonders Duel","11","7 Wonders Duel"
1632,82,"12. Disney Lorcana","12","Disney Lorcana"
1633,82,"13. Everdell","13","Everdell"
1634,82,"14. Sagrada","14","Sagrada"
1635,82,"15. Patchwork","15","Patchwork"
1636,82,"16. Ohanami","16","Ohanami"
1637,82,"17. Gizmos","17","Gizmos"
1638,82,"18. Lost Cities","18","Lost Cities"
1639,82,"19. Obsession","19","Obsession"
1640,82,"20. Viticulture Essential Edition","20","Viticulture Essential Edition"
1641,83,"1. Spirit Island","1","Spirit Island"
1642,83,"2. The Castles of Burgundy","2","The Castles of Burgundy"
1643,83,"3. 7 Wonders Duel","3","7 Wonders Duel"
1644,83,"4. The Bloody Inn","4","The Bloody Inn"
1645,83,"5. Wingspan","5","Wingspan"
1646,83,"6. Carcassone","6","Carcassone"
1647,83,"7. Paint the Roses","7","Paint the Roses"
1648,83,"8. Atiwa","8","Atiwa"
1649,83,"9. Jump Drive","9","Jump Drive"
1650,83,"10. The Guild of Merchant Explorers","10","The Guild of Merchant Explorers"
1651,83,"11. Dorfromantik: The Board Game","11","Dorfromantik: The Board Game"
1652,83,"12. Codenames: Duet","12","Codenames: Duet"
1653,83,"13. Cthulhu: Death May Die","13","Cthulhu: Death May Die"
1654,83,"14. Century: Spice Road","14","Century: Spice Road"
1655,83,"15. Mechs vs Minions","15","Mechs vs Minions"
1656,83,"16. Fields of Arle","16","Fields of Arle"
1657,83,"17. Gloomhaven: Jaws of the Lion","17","Gloomhaven: Jaws of the Lion"
1658,83,"18. Nusfjord","18","Nusfjord"
1659,83,"19. Astro Knights","19","Astro Knights"
1660,83,"20. Bot Factory","20","Bot Factory"
1661,84,"1. Star Wars Outer Rim","1","Star Wars Outer Rim"
1662,84,"2. Dice Throne Adventures","2","Dice Throne Adventures"
1663,84,"3. Stardew Valley: The Board Game","3","Stardew Valley: The Board Game"
1664,84,"4. Calico","4","Calico"
1665,84,"5. Star Wars Imperial Assault","5","Star Wars Imperial Assault"
1666,84,"6. Marvel Champions: The Card Game","6","Marvel Champions: The Card Game"
1667,84,"7. Arkham Horror: The Card Game","7","Arkham Horror: The Card Game"
1668,84,"8. The Witcher Old World","8","The Witcher Old World"
1669,84,"9. GI JOE Deck-Building Game","9","GI JOE Deck-Building Game"
1670,84,"10. ISS Vanguard","10","ISS Vanguard"
1671,84,"11. Journeys in Middle Earth","11","Journeys in Middle Earth"
1672,84,"12. Deep Space D-6 Armada","12","Deep Space D-6 Armada"
1673,84,"13. Legendary: A Marvel Deck Building Game","13","Legendary: A Marvel Deck Building Game"
1674,84,"14. Star Wars X-Wing","14","Star Wars X-Wing"
1675,84,"15. Fallout","15","Fallout"
1676,84,"16. Marvel United","16","Marvel United"
1677,84,"17. Lord of the Rings: The Card Game","17","Lord of the Rings: The Card Game"
1678,84,"18. Undaunted: Normandy","18","Undaunted: Normandy"
1679,84,"19. V-Sabotage","19","V-Sabotage"
