uid,id,source,rank,game
178,9,"18. Schotten Totten","18","Schotten Totten"
179,9,"19. Lost Cities","19","Lost Cities"
180,9,"20. Bound","20","Bound"
181,10,"1. Tiletum","1","Tiletum"
182,10,"2. Splendor Duel","2","Splendor Duel"
183,10,"3. Concordia","3","Concordia"
184,10,"4. Grand Austria Hotel","4","Grand Austria Hotel"
185,10,"5. The Castles of Burgundy","5","The Castles of Burgundy"
186,10,"6. Lost ruins of Arnak","6","Lost ruins of Arnak"
187,10,"7. Rajas of the Ganges","7","Rajas of the Ganges"
188,10,"8. Cascadia","8","Cascadia"
189,10,"9. Lorenzo il magnifico","9","Lorenzo il magnifico"
190,10,"10. The Voyages of Marco Polo","10","The Voyages of Marco Polo"
191,10,"11. Lords of Waterdeep","11","Lords of Waterdeep"
192,10,"12. Hadara","12","Hadara"
193,10,"13. Jaipur","13","Jaipur"
194,10,"14. It's Wonderful World","14","It's Wonderful World"
195,10,"15. Vikings (2007)","15","Vikings (2007)"
196,10,"16. Coimbra","16","Coimbra"
197,10,"17. Caverna: Cave vs Cave","17","Caverna: Cave vs Cave"
198,10,"18. Stone Age","18","Stone Age"
199,10,"19. Azul: Summer Pavilion","19","Azul: Summer Pavilion"
200,10,"20. The Quacks of Quedlinburg","20","The Quacks of Quedlinburg"
201,11,"1. Agricola (Revised Edition)","1","Agricola (Revised Edition)"
202,11,"2. 7 Wonders Duel","2","7 Wonders Duel"
203,11,"3. Race for the Galaxy","3","Race for the Galaxy"
204,11,"4. Too Many Bones","4","Too Many Bones"
205,11,"5. Codenames: Duet","5","Codenames: Duet"
206,11,"6. Godtear","6","Godtear"
207,11,"7. The Castles of Burgundy","7","The Castles of Burgundy"
208,11,"8. Undaunted: North Africa","8","Undaunted: North Africa"
209,11,"9.Radlands","9","Radlands"
210,11,"10. Marvel Champions: The Card Game","10","Marvel Champions: The Card Game"
211,11,"11. Dice Throne","11","Dice Throne"
212,11,"12. Cascadia","12","Cascadia"
213,11,"13. Kingdomino","13","Kingdomino"
214,11,"14. Welcome To...","14","Welcome To..."
215,11,"15. Star Realms","15","Star Realms"
216,11,"16. Carcassonne","16","Carcassonne"
217,11,"17. My City","17","My City"
218,11,"18. Cryptid","18","Cryptid"
219,11,"19. Barenpark","19","Barenpark"
220,11,"20. The Quacks of Quedlinburg","20","The Quacks of Quedlinburg"
221,12,"1. Race for the Galaxy","1","Race for the Galaxy"
222,12,"2. Fantasy Realms","2","Fantasy Realms"
223,12,"3. Innovation","3","Innovation"
224,12,"4. Jump Drive","4","Jump Drive"
225,12,"5. Babylonia","5","Babylonia"
226,12,"6. Fleet","6","Fleet"
227,12,"7. Circle the Wagons","7","Circle the Wagons"
228,12,"8. Air, Land, & Sea","8","Air, Land, & Sea"
229,12,"9. Patchwork","9","Patchwork"
230,12,"10. The Shipwreck Arcana","10","The Shipwreck Arcana"
231,12,"11. Mottainai","11","Mottainai"
232,12,"12. Terraforming Mars: Ares Expedition","12","Terraforming Mars: Ares Expedition"
233,12,"13. Fugitive","13","Fugitive"
234,12,"14. The Fox in the Forest","14","The Fox in the Forest"
235,12,"15. The Search for Planet X","15","The Search for Planet X"
236,12,"16. Burgle Bros.","16","Burgle Bros."
237,12,"17. Liberation","17","Liberation"
238,12,"18. Cartographers","18","Cartographers"
239,12,"19. The City","19","The City"
240,12,"20. Ricochet Robots","20","Ricochet Robots"
241,13,"1. Napoleon's Triumph","1","Napoleon's Triumph"
242,13,"2. Sobek: 2 Players","2","Sobek: 2 Players"
243,13,"3. War Chest","3","War Chest"
244,13,"4. Sail","4","Sail"
245,13,"5. Antike Duellem","5","Antike Duellem"
246,13,"6. Favor of the Pharaoh","6","Favor of the Pharaoh"
247,13,"7. Nanga Parbat","7","Nanga Parbat"
248,13,"8. Longhorn","8","Longhorn"
249,13,"9. Cube Quest","9","Cube Quest"
250,13,"10. Dragon Castle","10","Dragon Castle"
251,13,"11. Blitzkrieg!: World War Two in 20 Minutes","11","Blitzkrieg!: World War Two in 20 Minutes"
252,13,"12. Cacao","12","Cacao"
253,13,"13. Agricola: All Creatures Big and Small","13","Agricola: All Creatures Big and Small"
254,13,"14. Qawale","14","Qawale"
255,13,"15. Jekyll vs. Hyde (2021)","15","Jekyll vs. Hyde (2021)"
256,13,"16. Great Plains","16","Great Plains"
257,13,"17. The Castles of Burgundy","17","The Castles of Burgundy"
258,13,"18. Claim","18","Claim"
259,13,"19. Haggis","19","Haggis"
260,13,"20. Tash-Kalar","20","Tash-Kalar"
261,14,"1. Terraforming Mars","1","Terraforming Mars"
262,14,"2. Carcassonne","2","Carcassonne"
263,14,"3. Wingspan","3","Wingspan"
264,14,"4. Kingdomino","4","Kingdomino"
265,14,"5. 7 Wonders Duel","5","7 Wonders Duel"
266,14,"6. Port Royal","6","Port Royal"
267,14,"7. The Fox in the Forest","7","The Fox in the Forest"
268,14,"8. Lords of Waterdeep","8","Lords of Waterdeep"
269,14,"9. Go","9","Go"
270,14,"10. Ticket to Ride: New York","10","Ticket to Ride: New York"
271,14,"11. Fantasy Realms","11","Fantasy Realms"
272,14,"12. Cartographers","12","Cartographers"
273,14,"13. Dream Home","13","Dream Home"
274,14,"14. Dungeon!","14","Dungeon!"
275,14,"15. Magic Maze","15","Magic Maze"
276,14,"16. Claim","16","Claim"
277,14,"17. Ubongo Duel","17","Ubongo Duel"
278,14,"18. Regicide","18","Regicide"
279,14,"19. Sea Change","19","Sea Change"
280,14,"20. The Mind","20","The Mind"
281,15,"1. Pandemic Legacy: Season 1","1","Pandemic Legacy: Season 1"
282,15,"2. Wingspan","2","Wingspan"
283,15,"3. Sky Team","3","Sky Team"
284,15,"4. Cascadia","4","Cascadia"
285,15,"5. Fugitive","5","Fugitive"
286,15,"6. Canvas","6","Canvas"
287,15,"7. Gloom","7","Gloom"
288,15,"8. Obsession","8","Obsession"
289,15,"9. Seize the Bean","9","Seize the Bean"
290,15,"10. Mind Space","10","Mind Space"
291,15,"11. La Granja","11","La Granja"
292,15,"12. Walking in Burano","12","Walking in Burano"
293,15,"13. Cartographers","13","Cartographers"
294,15,"14. First Ascent","14","First Ascent"
295,15,"15. Tipperary","15","Tipperary"
296,15,"16. Flamme Rouge","16","Flamme Rouge"
297,15,"17. Verdant","17","Verdant"
298,15,"18. Hanabi","18","Hanabi"
299,15,"19. Globetrotting","19","Globetrotting"
300,15,"20. The Mind","20","The Mind"
301,16,"1. Hive","1","Hive"
302,16,"2. Wingspan","2","Wingspan"
